CD4 HF 7,CD4 HF,8.587744,8.150322,7.906486,7.390706,7.43721,7.362345,16.215495,15.722823,15.411282,9.115776,8.946679,8.924324
CD4 HF 7,CD4 HF,8.846059,8.313428,8.037781,8.288811,8.08416,8.482617,18.625887,17.555368,17.259318,9.85054,9.335858,9.511758
CD4 HF 7,CD4 HF,10.617912,10.666353,10.662269,10.775521,10.549106,10.31686,23.693227,22.841518,22.449737,11.904223,11.448138,11.5093
CD4 HF 7,CD4 HF,8.331483,7.872966,7.864939,7.736489,7.457454,7.526312,13.937882,14.125355,13.992796,7.821221,7.482917,7.117402
CD4 HF 8,CD4 HF,12.267863,11.696491,11.667017,12.598298,11.887814,11.695783,26.093208,24.708465,23.585555,13.553138,12.949586,12.97981
CD4 HF 8,CD4 HF,9.810082,9.493567,9.296595,9.829679,9.174065,9.354132,19.910457,19.1657,18.612425,10.393613,10.012751,9.834089
CD4 HF 8,CD4 HF,11.579471,10.754674,10.541067,10.931977,10.389762,10.42323,22.62571,21.635824,21.114786,12.418431,12.109308,11.658204
CD4 HF 8,CD4 HF,10.334902,9.75221,9.324141,9.129528,8.748508,9.060384,18.310017,17.838642,17.392827,10.371217,9.840573,9.287465
CD4 HF 8,CD4 HF,8.271124,8.050862,8.072253,8.305483,8.023706,8.107599,17.22563,16.731624,16.543208,9.44217,9.055548,9.518569
CD4 HF 8,CD4 HF,7.918524,7.673808,7.610929,7.506885,7.388633,7.462177,13.469041,13.41284,13.337621,8.431623,8.233298,8.349503
CD4 HF 9,CD4 HF,14.036195,12.98434,13.017048,13.428512,13.356688,13.481204,27.21042,24.209266,23.085521,14.66071,14.440701,13.99387
CD4 HF 9,CD4 HF,15.023565,14.092583,13.887918,14.695082,14.200528,14.369959,29.105382,25.818925,24.601033,16.850905,15.81609,15.777699
CD4 HF 9,CD4 HF,11.315202,10.440056,9.967028,11.8937,11.474226,11.505684,25.901886,23.018484,21.931791,13.927021,13.255665,12.669349
CD4 HF 9,CD4 HF,14.956794,14.130179,14.334771,14.874281,14.632094,14.829741,27.446781,25.15353,24.237758,17.099092,16.449063,16.385657
CD4 Lean 010,CD4 Lean,9.115278,8.937385,8.90431,10.306601,10.174946,10.044329,23.648021,21.991411,21.62024,13.893296,13.051196,12.995095
CD4 Lean 010,CD4 Lean,11.844372,10.592064,10.603185,12.005754,11.26788,10.837848,28.391233,26.694375,26.165596,13.824587,14.003453,13.757666
CD4 Lean 010,CD4 Lean,6.400695,5.780005,5.684677,7.275161,6.874756,6.649654,15.527034,15.016779,14.821863,9.792576,9.290855,8.878135
CD4 Lean 010,CD4 Lean,9.671824,9.240679,9.111023,9.032437,8.988074,9.176918,15.816798,15.117302,14.926013,10.98549,10.913087,10.89503
CD4 Lean 1,CD4 Lean,5.58805,5.105473,5.16018,6.25176,5.990842,5.894287,15.423967,14.909578,14.547297,8.284031,7.872745,8.030258
CD4 Lean 1,CD4 Lean,7.399808,7.366513,7.351517,8.233186,7.940382,8.234974,22.401938,21.21954,20.682191,10.233347,10.339592,10.130379
CD4 Lean 1,CD4 Lean,6.621609,6.53539,6.382099,6.84953,6.820868,7.077779,17.016149,16.128414,16.082746,9.21664,9.090289,8.834285
CD4 Lean 1,CD4 Lean,8.623592,8.777934,8.649383,8.835672,8.243562,8.173379,22.881186,22.321135,22.169532,10.915547,10.74852,10.699495
CD4 Lean 2,CD4 Lean,8.416012,8.100213,7.962616,8.2669,8.120631,8.230276,22.954306,22.219601,21.812999,10.616088,10.351389,10.430103
CD4 Lean 2,CD4 Lean,7.258794,7.070572,7.098782,7.177241,7.190722,7.497376,19.89031,19.13789,19.057214,9.978452,9.475181,9.468752
CD4 Lean 2,CD4 Lean,8.946505,8.836746,8.587906,8.492966,8.473648,8.613956,22.411435,21.960967,21.101075,11.316882,10.628573,11.072891
CD4 Lean 2,CD4 Lean,6.590182,6.215842,6.17836,6.723053,6.437133,6.756935,16.976722,16.262394,15.92224,8.993246,8.566734,8.552936
CD4 Lean 3,CD4 Lean,5.33598,4.807896,4.753768,5.603874,5.428134,5.334297,15.108141,14.923985,14.944139,8.681912,8.65924,8.570007
CD4 Lean 3,CD4 Lean,8.282331,7.360738,7.072546,7.713174,7.276636,7.554879,19.89713,19.514608,19.45036,11.263696,11.11491,11.002185
CD4 Lean 3,CD4 Lean,7.863373,7.099894,7.315602,7.636504,7.593534,7.579476,20.160212,20.221135,20.047326,11.014192,10.5913,10.358738
CD4 Lean 3,CD4 Lean,6.693272,5.702905,5.961973,6.612731,6.310633,6.5782,18.76321,18.408775,18.297284,8.754897,8.92736,8.451499
CD4 Lean 5,CD4 Lean,15.378278,14.858772,14.449443,14.027467,14.079066,14.400422,28.081556,26.980049,26.346363,15.135301,14.80019,14.194935
CD4 Lean 5,CD4 Lean,13.088291,12.27483,11.764529,11.800352,11.476799,11.984625,23.527991,22.677258,22.181485,12.589707,12.580294,12.144614
CD4 Lean 5,CD4 Lean,11.614983,11.162605,10.379894,10.705165,10.547211,10.751135,21.262088,20.269252,19.483372,11.257739,11.239871,10.742276
CD4 Lean 5,CD4 Lean,8.577526,8.494585,8.387663,8.819554,8.624683,8.961433,17.885997,17.923543,17.914921,10.738602,10.004218,9.989572
CD4 Lean 6,CD4 Lean,9.749464,9.318971,9.347692,9.500742,9.367249,9.329811,21.369154,21.053876,20.414221,11.683931,11.13378,10.984346
CD4 Lean 6,CD4 Lean,8.211723,7.773207,7.3971,7.526373,7.635576,7.764027,17.214801,16.773798,16.378182,9.568368,9.342184,9.45439
CD4 Lean 6,CD4 Lean,8.11019,7.569403,7.199868,7.56365,7.628986,7.69734,16.566131,16.105375,16.147308,8.841021,9.166821,9.132767
